DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Life Ball,Ball Set,Machine,DrawNumber
30-Jan-25,42,8,33,17,12,7,SFL8,Excalibur 6,614
27-Jan-25,5,19,21,16,36,8,SFL8,Excalibur 6,613
23-Jan-25,11,45,22,32,21,6,SFL7,Excalibur 5,612
20-Jan-25,32,3,2,35,36,9,SFL7,Excalibur 5,611
16-Jan-25,9,15,33,44,12,10,SFL9,Excalibur 5,610
13-Jan-25,11,36,43,37,16,9,SFL9,Excalibur 5,609
09-Jan-25,13,11,45,14,10,3,SFL8,Excalibur 4,608
06-Jan-25,26,21,38,31,10,9,SFL8,Excalibur 4,607
02-Jan-25,28,44,8,27,12,9,SFL7,Excalibur 4,606
30-Dec-24,28,35,13,8,29,10,SFL4,Excalibur 4,605
26-Dec-24,29,11,9,24,36,6,SFL6,Excalibur 6,604
23-Dec-24,28,2,19,23,18,3,SFL6,Excalibur 6,603
19-Dec-24,4,38,41,7,20,5,SFL5,Excalibur 6,602
16-Dec-24,16,6,23,30,28,7,SFL5,Excalibur 6,601
12-Dec-24,43,30,42,22,13,5,SFL4,Excalibur 5,600
09-Dec-24,22,8,40,5,21,10,SFL4,Excalibur 5,599
05-Dec-24,45,12,11,36,10,8,SFL6,Excalibur 5,598
02-Dec-24,25,37,34,31,3,6,SFL6,Excalibur 2,597
28-Nov-24,19,28,24,39,32,9,SFL5,Excalibur 1,596
25-Nov-24,29,38,31,34,18,1,SFL5,Excalibur 1,595
21-Nov-24,3,35,12,43,13,1,SFL4,Excalibur 1,594
18-Nov-24,10,19,2,8,24,9,SFL4,Excalibur 1,593
14-Nov-24,1,17,39,30,3,5,SFL6,Excalibur 3,592
11-Nov-24,24,9,31,1,36,8,SFL5,Excalibur 3,591
07-Nov-24,26,7,23,9,10,1,SFL6,Excalibur 3,590
04-Nov-24,44,14,22,5,33,5,SFL5,Excalibur 3,589
31-Oct-24,24,15,37,18,9,7,SFL4,Excalibur 2,588
28-Oct-24,43,39,47,12,15,5,SFL4,Excalibur 2,587
24-Oct-24,45,37,11,29,2,6,SFL6,Excalibur 2,586
21-Oct-24,38,19,8,32,15,9,SFL6,Excalibur 2,585
17-Oct-24,17,32,12,27,43,3,SFL5,Excalibur 1,584
14-Oct-24,3,32,34,15,28,5,SFL5,Excalibur 1,583
10-Oct-24,18,7,13,20,31,8,SFL4,Excalibur 1,582
07-Oct-24,23,17,22,18,29,7,SFL4,Excalibur 1,581
03-Oct-24,35,43,33,34,22,10,SFL6,Excalibur 3,580
30-Sep-24,14,36,21,6,24,1,SFL6,Excalibur 3,579
26-Sep-24,41,32,33,27,47,4,SFL5,Excalibur 3,578
23-Sep-24,30,43,18,12,35,6,SFL5,Excalibur 3,577
19-Sep-24,46,30,6,5,47,5,SFL4,Excalibur 2,576
16-Sep-24,17,13,12,30,15,10,SFL1,Excalibur 2,575
12-Sep-24,4,1,39,38,23,3,SFL3,Excalibur 2,574
09-Sep-24,32,4,6,45,35,6,SFL3,Excalibur 2,573
05-Sep-24,23,5,32,44,3,8,SFL2,Excalibur 1,572
02-Sep-24,9,3,31,21,22,10,SFL2,Excalibur 1,571
29-Aug-24,8,43,4,25,21,9,SFL1,Excalibur 1,570
26-Aug-24,37,41,33,29,2,9,SFL1,Excalibur 1,569
22-Aug-24,33,39,15,30,32,4,SFL3,Excalibur 3,568
19-Aug-24,33,43,35,42,23,6,SFL3,Excalibur 3,567
15-Aug-24,11,25,34,47,26,8,SFL2,Excalibur 3,566
12-Aug-24,42,46,43,27,20,9,SFL2,Excalibur 3,565
08-Aug-24,40,6,17,10,24,8,SFL1,Excalibur 2,564
05-Aug-24,31,38,23,47,8,9,SFL1,Excalibur 2,563
01-Aug-24,2,6,34,18,24,2,SFL3,Excalibur 2,562
29-Jul-24,8,6,24,11,45,2,SFL2,Excalibur 2,561
25-Jul-24,33,7,25,20,30,3,SFL3,Excalibur 1,560
22-Jul-24,32,3,26,1,9,1,SFL2,Excalibur 1,559
18-Jul-24,27,7,5,46,38,8,SFL1,Excalibur 1,558
